user_id,segment_type
421,Psychographic
374,Psychographic
329,Technographic
482,Technographic
223,Firmographic
963,Customer data
9,Customer data
835,Customer data
893,Psychographic
112,Psychographic
50,Firmographic
571,Firmographic
77,Firmographic
382,Psychographic
913,Psychographic
299,Demographic
211,Psychographic
994,Behavioral
988,Technographic
930,Firmographic
597,Behavioral
590,Technographic
910,Firmographic
163,Firmographic
923,Technographic
278,Demographic
719,Customer data
88,Psychographic
366,Firmographic
760,Psychographic
729,Behavioral
560,Firmographic
245,Behavioral
560,Customer data
208,Firmographic
16,Customer data
183,Technographic
51,Customer data
33,Psychographic
762,Technographic
724,Customer data
771,Demographic
831,Demographic
508,Technographic
805,Firmographic
296,Customer data
849,Demographic
588,Firmographic
530,Firmographic
495,Customer data
76,Demographic
665,Behavioral
952,Behavioral
290,Firmographic
879,Technographic
293,Technographic
93,Behavioral
311,Technographic
48,Demographic
167,Customer data
526,Firmographic
324,Technographic
649,Technographic
46,Technographic
23,Customer data
777,Behavioral
147,Behavioral
760,Demographic
444,Customer data
825,Technographic
873,Behavioral
849,Psychographic
58,Psychographic
703,Technographic
568,Firmographic
339,Firmographic
322,Behavioral
180,Psychographic
646,Psychographic
840,Firmographic
282,Demographic
128,Demographic
117,Psychographic
282,Behavioral
712,Technographic
886,Technographic
500,Demographic
130,Customer data
975,Technographic
873,Firmographic
911,Technographic
170,Psychographic
702,Technographic
128,Behavioral
615,Technographic
646,Customer data
390,Firmographic
920,Technographic
606,Demographic
317,Firmographic
898,Firmographic
147,Technographic
202,Behavioral
263,Firmographic
127,Technographic
716,Behavioral
940,Behavioral
381,Customer data
276,Technographic
97,Behavioral
446,Demographic
340,Behavioral
148,Behavioral
737,Behavioral
690,Firmographic
602,Psychographic
707,Behavioral
658,Customer data
494,Firmographic
500,Psychographic
565,Firmographic
682,Psychographic
104,Firmographic
183,Firmographic
235,Behavioral
484,Customer data
842,Demographic
666,Firmographic
220,Technographic
317,Behavioral
148,Psychographic
210,Technographic
283,Psychographic
753,Behavioral
904,Technographic
784,Technographic
206,Demographic
326,Psychographic
855,Customer data
968,Behavioral
236,Psychographic
691,Demographic
757,Customer data
467,Firmographic
921,Technographic
638,Behavioral
830,Firmographic
675,Technographic
181,Behavioral
682,Behavioral
255,Demographic
90,Firmographic
946,Technographic
732,Behavioral
219,Firmographic
617,Technographic
785,Demographic
949,Demographic
901,Behavioral
359,Behavioral
905,Psychographic
858,Psychographic
478,Demographic
348,Behavioral
718,Behavioral
549,Demographic
959,Behavioral
636,Demographic
938,Behavioral
862,Demographic
963,Firmographic
831,Firmographic
202,Customer data
790,Firmographic
438,Psychographic
430,Demographic
561,Customer data
524,Firmographic
101,Customer data
231,Psychographic
61,Customer data
384,Behavioral
695,Customer data
127,Technographic
226,Demographic
202,Technographic
801,Technographic
70,Firmographic
411,Behavioral
438,Demographic
294,Psychographic
995,Firmographic
280,Customer data
108,Behavioral
638,Psychographic
662,Customer data
206,Psychographic
498,Psychographic
530,Behavioral
119,Demographic
463,Customer data
68,Psychographic
339,Technographic
409,Technographic
166,Customer data
93,Demographic
482,Psychographic
914,Psychographic
930,Behavioral
239,Psychographic
992,Firmographic
50,Customer data
816,Technographic
539,Technographic
482,Firmographic
263,Technographic
609,Demographic
740,Firmographic
756,Technographic
683,Demographic
201,Psychographic
483,Psychographic
278,Behavioral
989,Behavioral
70,Customer data
708,Psychographic
754,Firmographic
682,Demographic
571,Behavioral
802,Firmographic
982,Technographic
626,Behavioral
961,Psychographic
720,Customer data
826,Psychographic
129,Firmographic
878,Psychographic
58,Psychographic
410,Behavioral
416,Demographic
114,Behavioral
146,Psychographic
826,Psychographic
911,Firmographic
835,Firmographic
311,Behavioral
306,Psychographic
999,Behavioral
920,Behavioral
326,Behavioral
812,Technographic
245,Technographic
487,Firmographic
536,Firmographic
1,Demographic
220,Firmographic
106,Customer data
1,Technographic
376,Behavioral
559,Firmographic
813,Psychographic
899,Customer data
548,Technographic
636,Customer data
109,Demographic
29,Behavioral
546,Firmographic
60,Demographic
196,Behavioral
642,Technographic
20,Psychographic
54,Firmographic
177,Demographic
600,Behavioral
507,Behavioral
526,Firmographic
252,Behavioral
126,Customer data
979,Customer data
910,Psychographic
432,Firmographic
332,Firmographic
558,Customer data
501,Behavioral
1000,Behavioral
722,Technographic
462,Behavioral
203,Psychographic
305,Firmographic
964,Behavioral
974,Psychographic
726,Firmographic
756,Psychographic
454,Customer data
507,Behavioral
671,Psychographic
740,Behavioral
520,Customer data
840,Behavioral
83,Technographic
550,Behavioral
311,Demographic
364,Psychographic
356,Customer data
478,Psychographic
102,Demographic
85,Demographic
711,Customer data
674,Firmographic
806,Customer data
67,Technographic
784,Psychographic
485,Demographic
245,Customer data
383,Customer data
32,Behavioral
656,Customer data
280,Technographic
829,Firmographic
32,Behavioral
261,Psychographic
401,Customer data
606,Technographic
664,Firmographic
41,Firmographic
178,Technographic
10,Psychographic
586,Psychographic
653,Technographic
235,Psychographic
713,Psychographic
727,Customer data
637,Customer data
678,Demographic
987,Firmographic
924,Technographic
964,Behavioral
52,Customer data
497,Customer data
801,Technographic
930,Behavioral
693,Psychographic
54,Behavioral
553,Firmographic
987,Firmographic
132,Demographic
627,Firmographic
177,Behavioral
943,Firmographic
730,Firmographic
586,Psychographic
605,Firmographic
343,Psychographic
992,Firmographic
142,Demographic
229,Technographic
698,Customer data
234,Firmographic
388,Behavioral
420,Customer data
381,Demographic
65,Demographic
246,Customer data
331,Psychographic
616,Technographic
267,Psychographic
935,Behavioral
212,Demographic
191,Technographic
254,Customer data
572,Psychographic
752,Firmographic
290,Technographic
201,Firmographic
391,Behavioral
273,Customer data
847,Customer data
972,Technographic
308,Demographic
64,Technographic
527,Behavioral
665,Psychographic
692,Technographic
952,Psychographic
101,Psychographic
877,Psychographic
57,Firmographic
730,Psychographic
971,Customer data
309,Psychographic
404,Firmographic
120,Demographic
449,Customer data
914,Psychographic
798,Behavioral
636,Customer data
816,Customer data
30,Customer data
452,Customer data
236,Customer data
462,Psychographic
269,Behavioral
98,Demographic
959,Technographic
818,Behavioral
446,Behavioral
366,Demographic
115,Behavioral
997,Behavioral
883,Behavioral
479,Firmographic
751,Technographic
374,Customer data
648,Firmographic
728,Behavioral
299,Technographic
802,Behavioral
918,Demographic
573,Behavioral
413,Demographic
559,Technographic
536,Customer data
993,Psychographic
